Id;CategoryName;Left;Right;
202;Badetøj;101503;101602;
203;Bikinier;101504;101505;
204;Badedragter;101506;101507;
205;Sko;110002;120001;
206;Sneakers;110003;110102;
207;Lifestyle Trainers;110004;110005;
208;High Top Sneakers;110006;110007;
209;Vintersko;110008;110009;
210;Støvletter;110103;110202;
211;Ankelstøvler;110104;110105;
212;Støvletter med snøre;110106;110107;
213;Cowboy- & bikerstøvletter;110108;110109;
214;Plateaustrøvletter;110110;110111;
215;Støvletter med kilehæl;110112;110113;
216;Støvler;110203;110302;
217;Klassiske støvler;110204;110205;
218;Vinterstøvler;110206;110207;
219;Snørestøvler;110208;110209;
220;Cowboy- & bikerstøvler;110210;110211;
221;Overknees;110212;110213;
222;Plateaustrøvler;110214;110215;
223;Højhælede støvler;110216;110217;
224;Gummistøvler;110218;110219;
225;Fodboldstøvler;110220;110221;
226;Sandaler;110303;110402;
227;Sandlaler med rem;110304;110305;
228;Sandaler med kilehæl;110306;110307;
229;Klip klapper;110308;110309;
230;Plateausandaler;110310;110311;
231;Højhælede;110403;110502;
232;Pumps;110404;110405;
233;Peep toes;110406;110407;
234;Sandaler;110408;110409;
235;Pumps;110503;110602;
236;Klassiske pumps;110504;110505;
237;Peep toes;110506;110507;
238;Pumps med kilehæl;110508;110509;
239;Plateaupumps;110510;110511;
240;Pumps med snøre;110512;110513;
241;Brudesko;110603;110702;
242;Fladesko;110703;110802;
243;Loafers;110704;110705;
244;Espadrillos;110706;110707;
245;Snøresko;110708;110709;
246;Mokassiner;110710;110711;
247;Ballerinaer;110803;110902;
248;Klassiske ballerinaer;110804;110805;
249;Ballerinaer med rem;110806;110807;
250;Sling ballerinaer;110808;110809;
251;Mules & clogs;110903;111002;
252;Flade slip-ins;110904;110905;
253;Slip-ins med hæl;110906;110907;
254;Clogs & træsko;110908;110909;
255;Hjemmesko;111003;111102;
256;Badesko;111103;111202;
257;Klip klapper;111104;111105;
258;Badesandaler;111106;111107;
259;Sportssko;111203;111302;
260;Træningssko;111204;111205;
261;Løbesko;111206;111207;
262;Andre Sportssko;111208;111209;
263;Kids;200001;300000;
264;Tøj;200002;210001;
265;T-shirts & poloer;200003;200102;
266;T-shirts;200004;200005;
267;Toppe;200006;200007;
268;Polotrøjer;200008;200009;
269;Langærmede t-shirts;200010;200011;
270;Bluser & tunikaer;200012;200013;
271;Skjorter;200014;200015;
272;Spillertrøjer;200016;200017;
273;Overtøj;200103;200202;
274;Jakker;200104;200105;
275;Frakker;200106;200107;
276;Regntøj;200108;200109;
277;Skitøj;200110;200111;
278;Veste;200112;200113;
279;Jakkesæt & blazere;200203;200302;
280;Kjoler;200303;200402;
281;Hverdagskjoler;200304;200305;
282;Festkjoler;200306;200307;
283;Sweatere & strik;200403;200502;
284;Trøjer;200404;200405;
285;Strik & cardigans;200406;200407;
286;Hoodies & sweatshirts;200408;200409;
287;Sweatjakker;200410;200411;
288;Hættetrøjer;200412;200413;
289;Træningstrøjer;200414;200415;
290;Sweatshirts;200416;200417;
291;Jeans;200503;200602;
292;Jeggings;200504;200505;
293;Skinny;200506;200507;
294;Slim fit;200508;200509;
295;Relaxed fit;200510;200511;
296;Straigh leg;200512;200513;
297;Bootcut & flared;200514;200515;
298;Denimshorts;200516;200517;
299;Bukser;200603;200702;
300;Stofbukser;200604;200605;
301;Leggings;200606;200607;
302;Træningsbukser;200608;200609;
303;Shorts;200703;200802;
304;Onepieces & sæt;200803;200902;
305;Buksedragter;200804;200805;
306;Overall & smækbukser;200806;200807;
307;Sæt;200808;200809;
308;Nederdele;200903;201002;
309;Nattøj & undertøj;201003;201102;
310;Undertøj;201004;201005;
311;Nattøj;201006;201007;
312;Bodies;201008;201009;
313;Badekåber;201010;201011;
314;Sokker & strømper;201103;201202;
315;Strømper;201104;201105;
316;Strømpebukser;201106;201107;
317;Knæstrømper;201108;201109;
318;Badetøj;201203;201302;
319;Bikinier;201204;201205;
320;Badebukser;201206;201207;
321;Badedragter;201208;201209;
322;Sko;210002;220001;
323;Sneakers;210003;210102;
324;Lifestyle Trainers;210004;210005;
325;High Top Sneakers;210006;210007;
326;Sandaler;210103;210202;
327;Sandaler med rem;210104;210105;
328;Trekking sandaler;210106;210107;
329;Klip klapper;210108;210109;
330;Lukkede sandaler;210110;210111;
331;Lave sko;210203;210302;
332;Sko med burretape;210204;210205;
333;Snørresko;210206;210207;
334;Sko;210208;210209;
335;Loafers;210210;210211;
336;Vintersko;210212;210213;
337;Ballerinaer;210303;210402;
338;Støvler;210403;210502;
339;Halvhøje Støvler;210404;210405;
340;Høje Støvler;210406;210407;
341;Gummistøvler;210408;210409;
342;Vinterstøvler;210410;210411;
343;Fodboldstøvler;210412;210413;
344;Lær-at-gå-sko;210503;210602;
345;Kravlesko;210603;210702;
346;Hjemmesko;210703;210802;
347;Sportssko;210803;210902;
348;Træningssko;210804;210805;
349;Løbesko;210806;210807;
350;Andre Sportssko;210808;210809;
